2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.calcite.runtime.CalciteException] to OFF
2019-06-28 20:53:16,234 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating OFF level on Logger[org.apache.calcite.runtime.CalciteException] onto the JUL framework
2019-06-28 20:53:16,234 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.curator.framework.recipes.leader.LeaderSelector] to OFF
2019-06-28 20:53:16,234 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating OFF level on Logger[org.apache.curator.framework.recipes.leader.LeaderSelector] onto the JUL framework
2019-06-28 20:53:16,234 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.curator.ConnectionState] to OFF
2019-06-28 20:53:16,234 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating OFF level on Logger[org.apache.curator.ConnectionState] onto the JUL framework
2019-06-28 20:53:16,234 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.cluster] to INFO
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.cluster] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.server.JettyServer] to INFO
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.server.JettyServer] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.eclipse.jetty] to INFO
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.eclipse.jetty] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.sun.jersey.spi.container.servlet.WebComponent] to ERROR
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[com.sun.jersey.spi.container.servlet.WebComponent] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.sun.jersey.spi.spring] to ERROR
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[com.sun.jersey.spi.spring] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.springframework] to ERROR
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,205 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[org.springframework] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,206 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.sun.jersey.spi.inject.Errors] to ERROR
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,206 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[com.sun.jersey.spi.inject.Errors] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,206 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.web.security] to INFO
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,206 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.web.security] onto the JUL framework
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,206 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.nifi.web.security] to false
2019-06-28 20:53:16,235 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,206 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [USER_FILE] to Logger[org.apache.nifi.web.security]
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.web.api.config] to INFO
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.web.api.config] onto the JUL framework
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.nifi.web.api.config] to false
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [USER_FILE] to Logger[org.apache.nifi.web.api.config]
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.authorization] to INFO
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.authorization] onto the JUL framework
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.nifi.authorization] to false
