CODE_PAYS;CODE_MARQUE;CODE_CLIENT_ORDER;NOM_CLIENT_ORDER;VIN;CODE_CANAL_VN;L_CANAL;Type_LLD;F2MLInformation;NUM_IMMATRICULATION;GENRE;REF_VERSION;L_MODELE;L_VERSION_VEH;KM_ENTREE_PHYSIQUE;DATE_MEC_CLEAN;PRIX_VENTEVO_HT;PRIX_VENTEVO_TTC;HAB_EXT;LIBELLE_COULEUR;EMPTY_COLUMN
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCBHY6FT250173;F250;F2ML;;;DY-709-HA;VP;PEUGEOT;208;Nouvelle 208 Allure Business  5 ptes 1,6L BlueHDi 100 S&S BVM5;91298;18/12/2015 00:00;6500;7800;P0WP;BLANC BANQUISE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCBHY6FW016298;F250;F2ML;;;DT-002-DB;VP;PEUGEOT;208;Nouvelle 208 Allure Business  5 ptes 1,6L BlueHDi 100 S&S BVM5;53236;07/07/2015 00:00;8650;10380;M09P;GRIS SHARK;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCBHY6GT068008;F250;F2ML;;;EB-726-BF;VP;PEUGEOT;208;Nouvelle 208 Active 5 ptes 1,6L BlueHDi 100 BVM5;24751;04/04/2016 00:00;8450;10140;M0ZR;GRIS ALUMINIUM;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCBHY6GT136396;F250;F2ML;;;ED-260-HW;VP;PEUGEOT;208;208 Allure Business 1,6L BlueHDi 100 S&S BVM5 5ptes;21943;23/06/2016 00:00;9750;11700;M09V;NOIR PERLA NERA;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCBHY6GW012247;F250;F2ML;;;EC-303-GD;VP;PEUGEOT;208;Nouvelle 208 Allure Business  5 ptes 1,6L BlueHDi 100 S&S BVM5;51300;19/05/2016 00:00;8600;10320;M0ZR;GRIS ALUMINIUM;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCHMZ6GT014520;F250;F2ML;;;DZ-642-GK;VP;PEUGEOT;208;Nouvelle 208 Style 1,2L PureTech 82 BVM5 5 ptes;28074;29/01/2016 00:00;9100;10920;P0WP;BLANC BANQUISE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCHMZ6GT060636;F250;F2ML;;;EA-760-NL;VP;PEUGEOT;208;Nouvelle 208 Active 5 ptes 1,2L PureTech 82 BVM5;27332;17/03/2016 00:00;8650;10380;M0K4;BLEU VIRTUEL;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCHMZ6GT148267;F250;F2ML;;;ED-340-HW;VP;PEUGEOT;208;208 Allure  1,2L PureTech 82 BVM5 5 ptes;24756;23/06/2016 00:00;9950;11940;P0WP;BLANC BANQUISE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCHMZ6GT157270;F250;F2ML;;;ED-277-YT;VP;PEUGEOT;208;208 Allure  1,2L PureTech 82 BVM5 5 ptes;21598;13/07/2016 00:00;9700;11640;P09G;GRIS HURRICANE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CCHMZ6GW025049;F250;F2ML;;;EE-631-HP;VP;PEUGEOT;208;208 Style 1,2L PureTech 82 BVM5 5 ptes;18445;29/07/2016 00:00;9650;11580;M09P;GRIS SHARK;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CU9HP0FY024081;F250;F2ML;;;DS-007-SX;VP;PEUGEOT;2008;2008 Active 1,6L e-HDi 92 BVM5;87285;25/06/2015 00:00;6800;8160;M0VL;EVL  GRIS PLATINIUM;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CU9HP8EY033554;F250;F2ML;;;DE-650-FN;VP;PEUGEOT;2008;2008 Allure 1,6L e-HDi 92ch ETG6;63632;25/03/2014 00:00;9600;11520;M0VL;EVL  GRIS PLATINIUM;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CU9HP8FY095171;F250;F2ML;;;DS-373-XC;VP;PEUGEOT;2008;2008 Business Pack 1,6L e-HDI 92 ETG6;44706;29/06/2015 00:00;9450;11340;P0WP;BLANC BANQUISE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CUBHW6GY079557;F250;F2ML;;;EC-664-KY;VP;PEUGEOT;2008;Nouveau SUV 2008 Active 1,6L BlueHDi 75 BVM5;27223;25/05/2016 00:00;9600;11520;P09G;GRIS HURRICANE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CUBHY6GY109845;F250;F2ML;;;EE-236-GP;VP;PEUGEOT;2008;Nouveau SUV 2008 Active 1,6L BlueHDi 100 BVM5;20327;28/07/2016 00:00;10650;12780;P0WP;BLANC BANQUISE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CUBHY6GY137458;F250;LEASING / LLD;;;EF-061-GW;VP;PEUGEOT;2008;Nouveau SUV 2008  Allure 1,6l BlueHDi 100 BVM5;32801;16/09/2016 00:00;11200;13440;M0F4;KCA  GRIS ARTENSE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CUBHY6HY124422;F250;LEASING / LLD;;;EQ-582-HJ;VP;PEUGEOT;2008;SUV 2008 Allure 1,6L BlueHDi 100 BVM5;16016;07/09/2017 00:00;12858,68;15430,42;M5F3;LQV ROUGE ULTIMATE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CUBHYKFY071730;F250;F2ML;;;DS-872-BG;VP;PEUGEOT;2008;2008 Allure Business 1,6L BlueHDI 100 S&S BVM5;84494;03/06/2015 00:00;8550;10260;M0VL;EVL  GRIS PLATINIUM;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CUBHYKGY131469;F250;F2ML;;;EF-802-BE;VP;PEUGEOT;2008;Nouveau SUV 2008 Allure Business 1,6L BlueHDI 100 S&S BVM5;40728;07/09/2016 00:00;11300;13560;P0WP;BLANC BANQUISE;
FR;AP;630155K;SARL INTER VO FRANCE;VF3CUBHZMFY084318;F250;F2ML;;;DS-195-GG;VP;PEUGEOT;2008;2008  Allure Business 1,6L BlueHDI 120 S&S BVM6;93414;11/06/2015 00:00;8050;9660;M0TV;ETV  BRUN MAKAHA;
